Speaker,Talk
石头,我师何太痴耶！若云无朝代可考，今我师竟假借汉唐等年纪添缀，又有何难？但我想，历来野史，皆蹈一辙，莫如我这不借此套者，反倒新奇别致，不过只取其事体情理罢了，又何必拘拘于朝代年纪哉！再者，市井俗人喜看理治之书者甚少，爱适趣闲文者特多．历来野史，或讪谤君相，或贬人妻女，奸淫凶恶，不可胜数．更有一种风月笔墨，其淫秽污臭，屠毒笔墨，坏人子弟，又不可胜数．至若佳人才子等书，则又千部共出一套，且其中终不能不涉于淫滥，以致满纸潘安，子建，西子，文君，不过作者要写出自己的那两首情诗艳赋来，故假拟出男女二人名姓，又必旁出一小人其间拨乱，亦如剧中之小丑然．且鬟婢开口即者也之乎，非文即理．故逐一看去，悉皆自相矛盾，大不近情理之话，竟不如我半世亲睹亲闻的这几个女子，虽不敢说强似前代书中所有之人，但事迹原委，亦可以消愁破闷，也有几首歪诗熟话，可以喷饭供酒．至若离合悲欢，兴衰际遇，则又追踪蹑迹，不敢稍加穿凿，徒为供人之目而反失其真传者．今之人，贫者日为衣食所累，富者又怀不足之心，纵然一时稍闲，又有贪淫恋色，好货寻愁之事，那里去有工夫看那理治之书？所以我这一段故事，也不愿世人称奇道妙，也不定要世人喜悦检读，只愿他们当那醉淫饱卧之时，或避世去愁之际，把此一玩，岂不省了些寿命筋力？就比那谋虚逐妄，却也省了口舌是非之害，腿脚奔忙之苦．再者，亦令世人换新眼目，不比那些胡牵乱扯，忽离忽遇，满纸才人淑女，子建文君红娘小玉等通共熟套之旧稿．我师意为何如？
道人,你携了这蠢物，意欲何往？
那僧,你放心，如今现有一段风流公案正该了结，这一干风流冤家，尚未投胎入世．趁此机会，就将此蠢物夹带于中，使他去经历经历。
道人,原来近日风流冤孽又将造劫历世去不成？但不知落于何方何处？
那僧,此事说来好笑，竟是千古未闻的罕事．只因西方灵河岸上三生石畔，有绛珠草一株，时有赤瑕宫神瑛侍者，日以甘露灌溉，这绛珠草始得久延岁月．后来既受天地精华，复得雨露滋养，遂得脱却草胎木质，得换人形，仅修成个女体，终日游于离恨天外，饥则食蜜青果为膳，渴则饮灌愁海水为汤．只因尚未酬报灌溉之德，故其五内便郁结着一段缠绵不尽之意．恰近日这神瑛侍者凡心偶炽，乘此昌明太平朝世，意欲下凡造历幻缘，已在警幻仙子案前挂了号．警幻亦曾问及，灌溉之情未偿，趁此倒可了结的．那绛珠仙子道：`他是甘露之惠，我并无此水可还．他既下世为人，我也去下世为人，但把我一生所有的眼泪还他，也偿还得过他了．-因此一事，就勾出多少风流冤家来，陪他们去了结此案。
道人,果是罕闻．实未闻有还泪之说．想来这一段故事，比历来风月事故更加琐碎细腻了。
那僧,历来几个风流人物，不过传其大概以及诗词篇章而已，至家庭闺阁中一饮一食，总未述记．再者，大半风月故事，不过偷香窃玉，暗约私奔而已，并不曾将儿女之真情发泄一二．想这一干人入世，其情痴色鬼，贤愚不肖者，悉与前人传述不同矣。
道人,趁此何不你我也去下世度脱几个，岂不是一场功德？
那僧,正合吾意，你且同我到警幻仙子宫中，将蠢物交割清楚，待这一干风流孽鬼下世已完，你我再去．如今虽已有一半落尘，然犹未全集。
道人,既如此，便随你去来。
甄士隐,二仙师请了。
士隐,适闻仙师所谈因果，实人世罕闻者．但弟子愚浊，不能洞悉明白，若蒙大开痴顽，备细一闻，弟子则洗耳谛听，稍能警省，亦可免沉伦之苦。
二仙,此乃玄机不可预泄者．到那时不要忘我二人，便可跳出火坑矣。
士隐,玄机不可预泄，但适云`蠢物-，不知为何，或可一见否？
那僧,若问此物，倒有一面之缘。
士隐,施主，你把这有命无运，累及爹娘之物，抱在怀内作甚？
那僧,舍我罢，舍我罢！
道人,你我不必同行，就此分手，各干营生去罢．三劫后，我在北邙山等你，会齐了同往太虚幻境销号。
那僧,最妙，最妙！
淹,老先生倚门伫望，敢是街市上有甚新闻否？
士隐,非也．适因小女啼哭，引他出来作耍，正是无聊之甚，兄来得正妙，请入小斋一谈，彼此皆可消此永昼。
家人,严老爷来拜。
士隐,恕诳驾之罪，略坐，弟即来陪。
雨村,老先生请便．晚生乃常造之客，稍候何妨。
甄家,这人生的这样雄壮，却又这样褴褛，想他定是我家主人常说的什么贾雨村了，每有意帮助周济，只是没甚机会．我家并无这样贫窘亲友，想定是此人无疑了．怪道又说他必非久困之人。
士隐,雨村兄真抱负不浅也！
雨村,不过偶吟前人之句，何敢狂诞至此。
士隐,今夜中秋，俗谓`团圆之节-，想尊兄旅寄僧房，不无寂寥之感，故特具小酌，邀兄到敝斋一饮，不知可纳芹意否？
雨村,既蒙厚爱，何敢拂此盛情。
士隐,妙哉！吾每谓兄必非久居人下者，今所吟之句，飞腾之兆已见，不日可接履于云霓之上矣．可贺，可贺！
雨村,非晚生酒后狂言，若论时尚之学，晚生也或可去充数沽名，只是目今行囊路费一概无措，神京路远，非赖卖字撰文即能到者。
士隐,兄何不早言．愚每有此心，但每遇兄时，兄并未谈及，愚故未敢唐突．今既及此，愚虽不才，`义利-二字却还识得．且喜明岁正当大比，兄宜作速入都，春闱一战，方不负兄之所学也．其盘费余事，弟自代为处置，亦不枉兄之谬识矣！
家人,和尚说，贾爷今日五鼓已进京去了，也曾留下话与和尚转达老爷，说`读书人不在黄道黑道，总以事理为要，不及面辞了．-
士隐,你满口说些什么？只听见些`好-`了-`好-`了-．那道人笑道：
士隐,且住！待我将你这《好了歌》解注出来何如？
道人,你解，你解。
丫鬟,本府太爷差人来传人问话。
那些人,快请出甄爷来！
封肃,小人姓封，并不姓甄．只有当日小婿姓甄，今已出家一二年了，不知可是问他？
那些公人,我们也不知什么`真-`假-，因奉太爷之命来问，他既是你女婿，便带了你去亲见太爷面禀，省得乱跑。
封肃,原来本府新升的太爷姓贾名化，本贯胡州人氏，曾与女婿旧日相交．方才在咱门前过去，因见娇杏那丫头买线，所以他只当女婿移住于此．我一一将原故回明，那太爷倒伤感叹息了一回，又问外孙女儿，我说看灯丢了．太爷说：`不妨，我自使番役务必探访回来．-说了一回话，临走倒送了我二两银子。
雨村,这两句话，文虽浅近，其意则深．我也曾游过些名山大刹，倒不曾见过这话头，其中想必有个翻过筋斗来的亦未可知，何不进去试试。
有一人,奇遇，奇遇。
雨村,老兄何日到此？弟竟不知．今日偶遇，真奇缘也。
子兴,去年岁底到家，今因还要入都，从此顺路找个敝友说一句话，承他之情，留我多住两日．我也无紧事，且盘桓两日，待月半时也就起身了．今日敝友有事，我因闲步至此，且歇歇脚，不期这样巧遇！
雨村,近日都中可有新闻没有？
子兴,倒没有什么新闻，倒是老先生你贵同宗家，出了一件小小的异事。
雨村,弟族中无人在都，何谈及此？
子兴,你们同姓，岂非同宗一族？
子兴,荣国府贾府中，可也玷辱了先生的门楣么？
雨村,原来是他家．若论起来，寒族人丁却不少，自东汉贾复以来，支派繁盛，各省皆有，谁逐细考查得来？若论荣国一支，却是同谱．但他那等荣耀，我们不便去攀扯，至今故越发生疏难认了。
子兴,老先生休如此说．如今的这宁荣两门，也都萧疏了，不比先时的光景。
雨村,当日宁荣两宅的人口也极多，如何就萧疏了？
冷子兴,正是，说来也话长。
雨村,去岁我到金陵地界，因欲游览六朝遗迹，那日进了石头城，从他老宅门前经过．街东是宁国府，街西是荣国府，二宅相连，竟将大半条街占了．大门前虽冷落无人，隔着围墙一望，里面厅殿楼阁，也还都峥嵘轩峻，就是后一带花园子里面树木山石，也还都有蓊蔚洇润之气，那里象个衰败之家？
冷子兴,亏你是进士出身，原来不通！古人有云：`百足之虫，死而不僵．-如今虽说不及先年那样兴盛，较之平常仕宦之家，到底气象不同．如今生齿日繁，事务日盛，主仆上下，安富尊荣者尽多，运筹谋画者无一，其日用排场费用，又不能将就省俭，如今外面的架子虽未甚倒，内囊却也尽上来了．这还是小事．更有一件大事：谁知这样钟鸣鼎食之家，翰墨诗书之族，如今的儿孙，竟一代不如一代了！
雨村,这样诗礼之家，岂有不善教育之理？别门不知，只说这宁，荣二宅，是最教子有方的。
子兴,正说的是这两门呢．待我告诉你：当日宁国公与荣国公是一母同胞弟兄两个．宁公居长，生了四个儿子．宁公死后，贾代化袭了官，也养了两个儿子：长名贾敷，至八九岁上便死了，只剩了次子贾敬袭了官，如今一味好道，只爱烧丹炼汞，余者一概不在心上．幸而早年留下一子，名唤贾珍，因他父亲一心想作神仙，把官倒让他袭了．他父亲又不肯回原籍来，只在都中城外和道士们胡羼．这位珍爷倒生了一个儿子，今年才十六岁，名叫贾蓉．如今敬老爹一概不管．这珍爷那里肯读书，只一味高乐不了，把宁国府竟翻了过来，也没有人敢来管他．再说荣府你听，方才所说异事，就出在这里．自荣公死后，长子贾代善袭了官，娶的也是金陵世勋史侯家的小姐为妻，生了两个儿子：长子贾赦，次子贾政．如今代善早已去世，太夫人尚在，长子贾赦袭着官，次子贾政，自幼酷喜捕潦*，祖父最疼，原欲以科甲出身的，不料代善临终时遗本一上，皇上因恤先臣，即时令长子袭官外，问还有几子，立刻引见，遂额外赐了这政老爹一个主事之衔，令其入部习学，如今现已升了员外郎了．这政老爹的夫人王氏，头胎生的公子，名唤贾珠，十四岁进学，不到二十岁就娶了妻生了子，一病死了．第二胎生了一位小姐，生在大年初一，这就奇了，不想后来又生一位公子，说来更奇，一落胎胞，嘴里便衔下一块五彩晶莹的玉来，上面还有许多字迹，就取名叫作宝玉．你道是新奇异事不是？
雨村,果然奇异．只怕这人来历不小。
子兴,万人皆如此说，因而乃祖母便先爱如珍宝．那年周岁时，政老爹便要试他将来的志向，便将那世上所有之物摆了无数，与他抓取．谁知他一概不取，伸手只把些脂粉钗环抓来．政老爹便大怒了，说：
雨村,非也！可惜你们不知道这人来历．大约政老前辈也错以淫魔色鬼看待了．若非多读书识事，加以致知格物之功，悟道参玄之力，不能知也。
雨村,天地生人，除大仁大恶两种，余者皆无大异．若大仁者，则应运而生，大恶者，则应劫而生．运生世治，劫生世危．尧，舜，禹，汤，文，武，周，召，孔，孟，董，韩，周，程，张，朱，皆应运而生者．蚩尤，共工，桀，纣，始皇，王莽，曹操，桓温，安禄山，秦桧等，皆应劫而生者．大仁者，修治天下，大恶者，挠乱天下．清明灵秀，天地之正气，仁者之所秉也，残忍乖僻，天地之邪气，恶者之所秉也．今当运隆祚永之朝，太平无为之世，清明灵秀之气所秉者，上至朝廷，下及草野，比比皆是．所余之秀气，漫无所归，遂为甘露，为和风，洽然溉及四海．彼残忍乖僻之邪气，不能荡溢于光天化日之中，遂凝结充塞于深沟大壑之内，偶因风荡，或被云催，略有摇动感发之意，一丝半缕误而泄出者，偶值灵秀之气适过，正不容邪，邪复妒正，两不相下，亦如风水雷电，地中既遇，既不能消，又不能让，必至搏击掀发后始尽．故其气亦必赋人，发泄一尽始散．使男女偶秉此气而生者，在上则不能成仁人君子，下亦不能为大凶大恶．置之于万万人中，其聪俊灵秀之气，则在万万人之上，其乖僻邪谬不近人情之态，又在万万人之下．若生于公侯富贵之家，则为情痴情种，若生于诗书清贫之族，则为逸士高人，纵再偶生于薄祚寒门，断不能为走卒健仆，甘遭庸人驱制驾驭，必为奇优名倡．如前代之许由，陶潜，阮籍，嵇康，刘伶，王谢二族，顾虎头，陈后主，唐明皇，宋徽宗，刘庭芝，温飞卿，米南宫，石曼卿，柳耆卿，秦少游，近日之倪云林，唐伯虎，祝枝山，再如李龟年，黄幡绰，敬新磨，卓文君，红拂，薛涛，崔莺，朝云之流，此皆易地则同之人也。
子兴,依你说，`成则王侯败则贼了．-
雨村,正是这意．你还不知，我自革职以来，这两年遍游各省，也曾遇见两个异样孩子．所以，方才你一说这宝玉，我就猜着了八九亦是这一派人物．不用远说，只金陵城内，钦差金陵省体仁院总裁甄家，你可知么？
子兴,谁人不知！这甄府和贾府就是老亲，又系世交．两家来往，极其亲热的．便在下也和他家来往非止一日了。
雨村,去岁我在金陵，也曾有人荐我到甄府处馆．我进去看其光景，谁知他家那等显贵，却是个富而好礼之家，倒是个难得之馆．但这一个学生，虽是启蒙，却比一个举业的还劳神．说起来更可笑，他说：`必得两个女儿伴着我读书，我方能认得字，心里也明白，不然我自己心里糊涂．-又常对跟他的小厮们说：`这女儿两个字，极尊贵，极清净的，比那阿弥陀佛，元始天尊的这两个宝号还更尊荣无对的呢！你们这浊口臭舌，万不可唐突了这两个字，要紧．但凡要说时，必须先用清水香茶漱了口才可，设若失错，便要凿牙穿腮等事．-其暴虐浮躁，顽劣憨痴，种种异常．只一放了学，进去见了那些女儿们，其温厚和平，聪敏文雅，竟又变了一个．因此，他令尊也曾下死笞楚过几次，无奈竟不能改．每打的吃疼不过时，他便`姐姐-`妹妹-乱叫起来．后来听得里面女儿们拿他取笑：`因何打急了只管叫姐妹做甚？莫不是求姐妹去说情讨饶？你岂不愧些！-他回答的最妙．他说：`急疼之时，只叫`姐姐-妹妹-字样，或可解疼也未可知，因叫了一声，便果觉不疼了，遂得了秘法：每疼痛之极，便连叫姐妹起来了．-你说可笑不可笑？也因祖母溺爱不明，每因孙辱师责子，因此我就辞了馆出来．如今在这巡盐御史林家做馆了．你看，这等子弟，必不能守祖父之根基，从师长之规谏的．只可惜他家几个姊妹都是少有的。
子兴,便是贾府中，现有的三个也不错．政老爹的长女，名元春，现因贤孝才德，选入宫作女史去了．二小姐乃赦老爹之妾所出，名迎春，三小姐乃政老爹之庶出，名探春，四小姐乃宁府珍爷之胞妹，名唤惜春．因史老夫人极爱孙女，都跟在祖母这边一处读书，听得个个不错．雨村道：
子兴,不然．只因现今大小姐是正月初一日所生，故名元春，余者方从了`春-字．上一辈的，却也是从兄弟而来的．现有对证：目今你贵东家林公之夫人，即荣府中赦，政二公之胞妹，在家时名唤贾敏．不信时，你回去细访可知。
雨村,怪道这女学生读至凡书中有`敏-字，皆念作`密-字，每每如是，写字遇着`敏-字，又减一二笔，我心中就有些疑惑．今听你说的，是为此无疑矣．怪道我这女学生言语举止另是一样，不与近日女子相同，度其母必不凡，方得其女，今知为荣府之孙，又不足罕矣，可伤上月竟亡故了。
子兴,老姊妹四个，这一个是极小的，又没了．长一辈的姊妹，一个也没了．只看这小一辈的，将来之东床如何呢。
雨村,正是．方才说这政公，已有衔玉之儿，又有长子所遗一个弱孙．这赦老竟无一个不成？
子兴,政公既有玉儿之后，其妾又生了一个，倒不知其好歹．只眼前现有二子一孙，却不知将来如何．若问那赦公，也有二子，长名贾琏，今已二十来往了，亲上作亲，娶的就是政老爹夫人王氏之内侄女，今已娶了二年．这位琏爷身上现捐的是个同知，也是不肯读书，于世路上好机变，言谈去的，所以如今只在乃叔政老爷家住着，帮着料理些家务．谁知自娶了他令夫人之后，倒上下无一人不称颂他夫人的，琏爷倒退了一射之地：说模样又极标致，言谈又爽利，心机又极深细，竟是个男人万不及一的。
雨村,可知我前言不谬．你我方才所说的这几个人，都只怕是那正邪两赋而来一路之人，未可知也。
子兴,邪也罢，正也罢，只顾算别人家的帐，你也吃一杯酒才好。
雨村,正是，只顾说话，竟多吃了几杯。
子兴,说着别人家的闲话，正好下酒，即多吃几杯何妨。
雨村,天也晚了，仔细关了城．我们慢慢的进城再谈，未为不可。
有人,雨村兄，恭喜了！特来报个喜信的。
如海,天缘凑巧，因贱荆去世，都中家岳母念及小女无人依傍教育，前已遣了男女船只来接，因小女未曾大痊，故未及行．此刻正思向蒙训教之恩未经酬报，遇此机会，岂有不尽心图报之理．但请放心．弟已预为筹画至此，已修下荐书一封，转托内兄务为周全协佐，方可稍尽弟之鄙诚，即有所费用之例，弟于内兄信中已注明白，亦不劳尊兄多虑矣。
雨村,不知令亲大人现居何职？只怕晚生草率，不敢骤然入都干渎。
如海,若论舍亲，与尊兄犹系同谱，乃荣公之孙：大内兄现袭一等将军，名赦，字恩侯，二内兄名政，字存周，现任工部员外郎，其为人谦恭厚道，大有祖父遗风，非膏粱轻薄仕宦之流，故弟方致书烦托．否则不但有污尊兄之清操，即弟亦不屑为矣。
如海,已择了出月初二日小女入都，尊兄即同路而往，岂不两便？
如海,汝父年将半百，再无续室之意，且汝多病，年又极小，上无亲母教养，下无姊妹兄弟扶持，今依傍外祖母及舅氏姊妹去，正好减我顾盼之忧，何反云不往？
黛玉,刚才老太太还念呢，可巧就来了。
人,林姑娘到了。
冷子兴,这是你大舅母，这是你二舅母，这是你先珠大哥的媳妇珠大嫂子。
贾母,请姑娘们来．今日远客才来，可以不必上学去了。
三,我这些儿女，所疼者独有你母，今日一旦先舍我而去，连面也不能一见，今见了你，我怎不伤心！
众人,常服何药，如何不急为疗治？
黛玉,我自来是如此，从会吃饮食时便吃药，到今日未断，请了多少名医修方配药，皆不见效．那一年我三岁时，听得说来了一个癞头和尚，说要化我去出家，我父母固是不从．他又说：既舍不得他，只怕他的病一生也不能好的了．若要好时，除非从此以后总不许见哭声，除父母之外，凡有外姓亲友之人，一概不见，方可平安了此一世．-疯疯癫癫，说了这些不经之谈，也没人理他．如今还是吃人参养荣丸。
有人,我来迟了，不曾迎接远客！
黛玉,这些人个个皆敛声屏气，恭肃严整如此，这来者系谁，这样放诞无礼？
熙凤,天下真有这样标致的人物，我今儿才算见了！况且这通身的气派，竟不象老祖宗的外孙女儿，竟是个嫡亲的孙女，怨不得老祖宗天天口头心头一时不忘．只可怜我这妹妹这样命苦，怎么姑妈偏就去世了！
贾母,我才好了，你倒来招我．你妹妹远路才来，身子又弱，也才劝住了，快再休提前话。
熙凤,正是呢！我一见了妹妹，一心都在他身上了，又是喜欢，又是伤心，竟忘记了老祖宗．该打，该打！
婆,林姑娘的行李东西可搬进来了？带了几个人来？你们赶早打扫两间下房，让他们去歇歇。
二舅母,月钱放过了不曾？
熙凤,月钱已放完了．才刚带着人到后楼上找缎子，找了这半日，也并没有见昨日太太说的那样的，想是太太记错了？
王夫人,有没有，什么要紧。
熙凤,这倒是我先料着了，知道妹妹不过这两日到的，我已预备下了，等太太回去过了目好送来。
邢氏,我带了外甥女过去，倒也便宜。
贾母,正是呢，你也去罢，不必过来了。
众婆子们,老爷说了：~连日身上不好，见了姑娘彼此倒伤心，暂且不忍相见．劝姑娘不要伤心想家，跟着老太太和舅母，即同家里一样．姊妹们虽拙，大家一处伴着，亦可以解些烦闷．或有委屈之处，只管说得，不要外道才是．-
黛玉,舅母爱惜赐饭，原不应辞，只是还要过去拜见二舅舅，恐领了赐去不恭，异日再领，未为不可．望舅母容谅。
邢夫人,这倒是了。
黛玉,某年月日，书赐荣国公贾源
丫鬟,太太说，请林姑娘到那边坐罢。
黛玉,你舅舅今日斋戒去了，再见罢．只是有一句话嘱咐你：你三个姊妹倒都极好，以后一处念书认字学针线，或是偶一顽笑，都有尽让的．但我不放心的最是一件：我有一个孽根祸胎，是家里的`混世魔王-，今日因庙里还愿去了，尚未回来，晚间你看见便知了．你只以后不要睬他，你这些姊妹都不敢沾惹他的。
黛玉,舅母说的，可是衔玉所生的这位哥哥？在家时亦曾听见母亲常说，这位哥哥比我大一岁，小名就唤宝玉，虽极憨顽，说在姊妹情中极好的．况我来了，自然只和姊妹同处，兄弟们自是别院另室的，岂得去沾惹之理？
王夫人,你不知道原故：他与别人不同，自幼因老太太疼爱，原系同姊妹们一处娇养惯了的．若姊妹们有日不理他，他倒还安静些，纵然他没趣，不过出了二门，背地里拿着他两个小幺儿出气，咕唧一会子就完了．若这一日姊妹们和他多说一句话，他心里一乐，便生出多少事来．所以嘱咐你别睬他．他嘴里一时甜言蜜语，一时有天无日，一时又疯疯傻傻，只休信他。
丫鬟,老太太那里传晚饭了。
王夫人,这是你凤姐姐的屋子，回来你好往这里找他来，少什么东西，你只管和他说就是了。
熙凤,你舅母你嫂子们不在这里吃饭．你是客，原应如此坐的。
林如海,你们去罢，让我们自在说话儿。
黛玉,只刚念了《四书》。
贾母,读的是什么书，不过是认得两个字，不是睁眼的瞎子罢了！
丫鬟,宝玉来了！
黛玉,这个宝玉，不知是怎生个惫懒人物，懵懂顽童？
子,好生奇怪，倒象在那里见过一般，何等眼熟到如此！
贾母,去见你娘来。
贾母,外客未见，就脱了衣裳，还不去见你妹妹！
宝玉,这个妹妹我曾见过的。
贾母,可又是胡说，你又何曾见过他？
宝玉,虽然未曾见过他，然我看着面善，心里就算是旧相识，今日只作远别重逢，亦未为不可。
贾母,更好，更好，若如此，更相和睦了。
宝玉,妹妹可曾读书？
黛玉,不曾读，只上了一年学，些须认得几个字。
宝玉,妹妹尊名是那两个字？
黛玉,无字。
宝玉,我送妹妹一妙字，莫若`颦颦-二字极妙。
宝玉,《古今人物通考》上说：`西方有石名黛，可代画眉之墨．-况这林妹妹眉尖若蹙，用取这两个字，岂不两妙！
探春,只恐又是你的杜撰。
宝玉,除《四书》外，杜撰的太多，偏只我是杜撰不成？
黛,可也有玉没有？
黛玉,我没有那个．想来那玉是一件罕物，岂能人人有的。
宝玉,什么罕物，连人之高低不择，还说`通灵-不`通灵-呢！我也不要这劳什子了！
贾母,孽障！你生气，要打骂人容易，何苦摔那命根子！
宝玉,家里姐姐妹妹都没有，单我有，我说没趣，如今来了这们一个神仙似的妹妹也没有，可知这不是个好东西。
贾母,你这妹妹原有这个来的，因你姑妈去世时，舍不得你妹妹，无法处，遂将他的玉带了去了：一则全殉葬之礼，尽你妹妹之孝心，二则你姑妈之灵，亦可权作见了女儿之意．因此他只说没有这个，不便自己夸张之意．你如今怎比得他？还不好生慎重带上，仔细你娘知道了。
贾母,今将宝玉挪出来，同我在套间暖阁儿里，把你林姑娘暂安置碧纱橱里．等过了残冬，春天再与他们收拾房屋，另作一番安置罢。
宝玉,好祖宗，我就在碧纱橱外的床上很妥当，何必又出来闹的老祖宗不得安静。
贾母,也罢了。
他,姑娘怎么还不安息？
黛玉,姐姐请坐。
鹦哥,林姑娘正在这里伤心，自己淌眼抹泪的说：`今儿才来，就惹出你家哥儿的狂病，倘或摔坏了那玉，岂不是因我之过！-因此便伤心，我好容易劝好了
袭人,姑娘快休如此，将来只怕比这个更奇怪的笑话儿还有呢！若为他这种行止，你多心伤感，只怕你伤感不了呢．快别多心！
黛玉,姐姐们说的，我记着就是了．究竟那玉不知是怎么个来历？上面还有字迹？
袭人,连一家子也不知来历，上头还有现成的眼儿，听得说，落草时是从他口里掏出来的．等我拿来你看便知。
黛玉,罢了，此刻夜深，明日再看也不迟。
原告,被殴死者乃小人之主人．因那日买了一个丫头，不想是拐子拐来卖的．这拐子先已得了我家的银子，我家小爷原说第三日方是好日子，再接入门．这拐子便又悄悄的卖与薛家，被我们知道了，去找拿卖主，夺取丫头．无奈薛家原系金陵一霸，倚财仗势，众豪奴将我小主人竟打死了．凶身主仆已皆逃走，无影无踪，只剩了几个局外之人．小人告了一年的状，竟无人作主．望大老爷拘拿凶犯，剪恶除凶，以救孤寡，死者感戴天恩不尽！
雨村,岂有这样放屁的事！打死人命就白白的走了，再拿不来的！
门子,老爷一向加官进禄，八九年来就忘了我了？
雨村,却十分面善得紧，只是一时想不起来。
门子,老爷真是贵人多忘事，把出身之地竟忘了，不记当年葫芦庙里之事？
雨村,原来是故人。
雨村,贫贱之交不可忘．你我故人也，二则此系私室，既欲长谈，岂有不坐之理？
门子,老爷既荣任到这一省，难道就没抄一张本省`护官符-来不成？
雨村,何为`护官符-？我竟不知。
门子,这还了得！连这个不知，怎能作得长远！如今凡作地方官者，皆有一个私单，上面写的是本省最有权有势，极富极贵的大乡绅名姓，各省皆然，倘若不知，一时触犯了这样的人家，不但官爵，只怕连性命还保不成呢！所以绰号叫作`护官符-．方才所说的这薛家，老爷如何惹他！他这件官司并无难断之处，皆因都碍着情分面上，所以如此。
人,王老爷来拜。
门子,这四家皆连络有亲，一损皆损，一荣皆荣，扶持遮饰，俱有照应的．今告打死人之薛，就系丰年大雪之`雪-也．也不单靠这三家，他的世交亲友在都在外者，本亦不少．老爷如今拿谁去？
雨村,如你这样说来，却怎么了结此案？你大约也深知这凶犯躲的方向了？
门子,不瞒老爷说，不但这凶犯的方向我知道，一并这拐卖之人我也知道，死鬼买主也深知道．待我细说与老爷听：这个被打之死鬼，乃是本地一个小乡绅之子，名唤冯渊，自幼父母早亡，又无兄弟，只他一个人守着些薄产过日子．长到十八九岁上，酷爱男风，最厌女子．这也是前生冤孽，可巧遇见这拐子卖丫头，他便一眼看上了这丫头，立意买来作妾，立誓再不交结男子，也不再娶第二个了，所以三日后方过门．谁晓这拐子又偷卖与薛家，他意欲卷了两家的银子，再逃往他省．谁知又不曾走脱，两家拿住，打了个臭死，都不肯收银，只要领人．那薛家公子岂是让人的，便喝着手下人一打，将冯公子打了个稀烂，抬回家去三日死了．这薛公子原是早已择定日子上京去的，头起身两日前，就偶然遇见这丫头，意欲买了就进京的，谁知闹出这事来．既打了冯公子，夺了丫头，他便没事人一般，只管带了家眷走他的路．他这里自有兄弟奴仆在此料理，也并非为此些些小事值得他一逃走的．这且别说，老爷你当被卖之丫头是谁？
雨村,我如何得知。
门子,这人算来还是老爷的大恩人呢！他就是葫芦庙旁住的甄老爷的小姐，名唤英莲的。
雨村,原来就是他！闻得养至五岁被人拐去，却如今才来卖呢？
